,Unnamed: 0,english,portuguese
803,814,fix,consertar
804,815,bastard,Desgraçado
805,816,proud,orgulhoso
806,817,tea,chá
807,818,service,serviço
808,819,screaming,gritando
809,820,forward,frente
810,821,angry,nervoso
811,822,park,parque
812,823,soul,alma
813,824,fighting,brigando
814,825,peter,Pedro
815,826,rich,rico
816,827,agent,agente
817,828,blow,soprar
818,829,paul,Paulo
819,830,dress,vestir
820,831,mary,Mary
821,832,missed,esquecidas
822,833,scene,cena
823,834,killing,matando
824,835,standing,de pé
825,836,saved,salvou
826,837,respect,respeito
827,838,killer,assassino
828,839,ice,gelo
829,840,mess,bagunça
830,841,church,igreja
831,842,sad,triste
832,843,drunk,bêbado
833,844,camera,Câmera
834,845,mm-hmm,mm-hmm
835,847,card,cartão
836,848,fly,mosca
837,849,ben,Ben.
838,850,girlfriend,Namorada
839,851,laugh,riso
840,852,smell,cheiro
841,853,broken,quebrado
842,855,honest,honesto
843,856,often,frequentemente
844,857,starting,iniciando
845,858,calls,Chamadas
846,859,spent,gasto
847,860,third,terceiro
848,861,english,inglês
849,862,visit,Visita
850,863,mama,mamãe
851,864,judge,juiz
852,865,window,janela
853,866,hungry,com fome
854,867,dare,Ouse
855,868,relationship,relação
856,869,moved,mudou-se
857,870,prove,provar
858,871,private,privado
859,872,wall,muro
860,873,seat,assento
861,874,position,posição
862,875,lieutenant,tenente
863,876,realize,entender
864,877,especially,especialmente
865,878,machine,máquina
866,879,art,arte
867,880,pleasure,prazer
868,881,bloody,sangrento
869,883,french,francês
870,884,involved,envolvido
871,886,became,tornou-se
872,887,lived,vivido
873,888,impossible,impossível
874,889,obviously,obviamente
875,890,neither,nem
876,891,accept,aceitar
877,892,besides,além do mais
878,893,queen,rainha
879,894,teacher,professora
880,895,cops,policiais
881,896,sake,interesse
882,897,loves,O amor é
883,898,carry,carregar
884,899,teach,Ensinar
885,900,apartment,apartamento
886,901,upset,chateado
887,902,green,verde
888,903,liked,apreciado
889,904,cute,fofa
890,906,professor,professor
891,907,contact,contato
892,908,joke,Piada
893,909,cop,policial
894,910,huge,enorme
895,911,holy,piedosos
896,912,store,armazenar
897,913,jail,cadeia
898,914,lawyer,advogado
899,915,doubt,dúvida
900,916,continue,Prosseguir
901,917,appreciate,apreciar
902,918,cat,gato
903,919,shop,fazer compras
904,920,driving,dirigindo
